Медиана значения функции Растригина,Мода лучшей итерации,Медиана времени до лучшей итерации,population_size,offspring_ratio,mutation_rate,mutation_strength,mutation_percent_genes,mutation_by_replacement,elite_fraction,initialization_method
0.334563,100,1.195499,231,1.881476,0.215606,0.340511,0.148254,True,0.126963,random
0.027891,100,2.472513,467,1.619716,0.397016,0.322450,0.169896,True,0.078684,lhs
0.145720,100,1.745605,248,2.516251,0.131342,0.369823,0.157084,True,0.169582,random
0.097057,100,1.554498,241,2.155314,0.337311,0.450879,0.153673,True,0.188297,random
0.017182,100,2.778615,467,1.856329,0.357473,0.166301,0.150913,True,0.051831,random
0.095195,100,1.728020,255,2.347323,0.237006,0.157974,0.117471,True,0.170015,lhs
0.023041,100,3.328527,432,2.668457,0.116663,0.464832,0.193359,True,0.102247,lhs
0.194533,100,1.268604,252,1.646012,0.344626,0.124316,0.172294,True,0.190876,lhs
0.141993,100,1.415899,187,2.676839,0.241173,0.112507,0.161297,True,0.199961,lhs
0.340577,100,1.236017,262,1.796954,0.209541,0.152362,0.129165,True,0.163723,random
2.377005,100,0.516509,101,2.258640,0.117131,0.252425,0.196014,True,0.089675,random
0.003097,100,3.725038,488,2.482173,0.258854,0.238738,0.182597,True,0.122335,lhs
0.161386,100,1.748489,352,1.646107,0.245046,0.200025,0.113863,True,0.073266,lhs
0.008087,100,4.115537,456,2.879928,0.422044,0.497924,0.114473,True,0.073471,random
0.019700,100,2.650512,432,2.098822,0.292785,0.117946,0.158348,True,0.120698,random
0.106703,100,1.561517,225,2.577016,0.244283,0.358145,0.116584,True,0.194809,random
0.063703,100,1.839511,274,2.426923,0.213750,0.102415,0.110887,True,0.191369,random
0.992686,100,1.075012,162,2.942414,0.118193,0.357399,0.166951,True,0.125394,lhs
0.071349,100,1.725127,332,1.680241,0.481803,0.464325,0.179659,True,0.168599,random
0.184886,100,1.159010,244,1.635273,0.345197,0.395190,0.112531,True,0.091375,lhs
0.017407,100,3.158027,399,2.721455,0.292079,0.489481,0.124683,True,0.077186,random
0.401538,100,1.063507,162,2.278579,0.435411,0.100167,0.165286,True,0.104513,random
0.085074,100,1.902014,367,1.883169,0.134799,0.134331,0.184824,True,0.130869,lhs
0.009462,100,3.346032,468,2.285978,0.459026,0.218456,0.176338,True,0.191339,lhs
0.033242,100,2.150525,286,2.797150,0.163659,0.336573,0.184093,True,0.179103,lhs
0.015042,100,3.273523,460,2.481314,0.209086,0.450796,0.143160,True,0.125793,random
0.188396,100,1.347510,252,1.882131,0.323655,0.447851,0.138140,True,0.096689,random
0.503354,100,0.868504,174,1.735591,0.392198,0.465825,0.124750,True,0.156963,random
1.202885,100,0.568011,122,1.695995,0.272430,0.325170,0.171853,True,0.185423,lhs
0.004518,100,4.096030,486,2.742275,0.429434,0.465215,0.162524,True,0.129499,random
