Latitude,Longitude,Year Built,Beds,Baths,buildingSize,lotSize,PostalCode,Price
29.714794,-95.366633,1937.0,3.0,2.0,2056.0,5942.0,77004,3150.0
29.77453,-95.69146,0.0,2.0,2.0,1205.0,0.0,77094,1622.0
29.93214,-95.67727,2001.0,5.0,4.0,4112.0,17119.0,77095,3800.0
29.888151,-95.653311,0.0,5.0,3.0,2483.0,0.0,77095,2285.0
29.82221,-95.45877,1979.0,1.0,1.0,622.0,0.0,77092,700.0
29.75437,-95.497513,0.0,1.0,1.0,948.0,0.0,77057,1779.0
29.745978,-95.481867,1978.0,1.0,1.0,920.0,85138.0,77057,1300.0
29.75047,-95.37839,0.0,1.0,1.0,692.0,0.0,77006,1179.0
29.723134,-95.379951,2015.0,3.0,4.0,2510.0,2648.0,77004,3600.0
29.764269,-95.389656,0.0,2.0,3.0,1586.0,0.0,77007,2424.0
29.913521,-95.490195,2008.0,3.0,2.0,1672.0,5171.0,77086,1900.0
29.797394,-95.559007,1975.0,2.0,2.0,1288.0,108732.0,77043,1500.0
29.54804,-95.092674,0.0,1.0,1.0,665.0,0.0,77058,1700.0
29.764892,-95.412649,1980.0,2.0,3.0,1536.0,2387.0,77007,2600.0
29.767096,-95.39608,0.0,1.0,1.0,682.0,0.0,77007,2029.0
29.752577,-95.367744,0.0,1.0,1.0,746.0,0.0,77002,1550.0
29.98886,-95.40997,1983.0,1.0,1.0,642.0,0.0,77073,940.0
29.730881,-95.540347,1979.0,3.0,3.0,1844.0,210652.0,77063,1950.0
29.647783,-95.506294,0.0,2.0,1.0,848.0,0.0,77035,1054.0
29.74341,-95.536869,2015.0,0.0,1.0,607.0,0.0,77063,1392.0
29.74251,-95.524886,1967.0,1.0,1.0,740.0,344194.0,77063,1300.0
29.951336,-95.423485,0.0,2.0,1.0,846.0,0.0,77067,1308.0
29.682281,-95.556468,1991.0,3.0,3.0,2392.0,5000.0,77036,2000.0
29.660424,-95.592466,1982.0,2.0,1.0,1125.0,7501.0,77477,900.0
29.735126,-95.359899,2021.0,3.0,4.0,1781.0,0.0,77004,2950.0
29.967526,-95.456084,1999.0,4.0,3.0,3085.0,8233.0,77014,2300.0
29.685994,-95.357889,0.0,2.0,1.0,1050.0,0.0,77021,1500.0
29.806454,-95.486259,0.0,1.0,1.0,740.0,0.0,77055,975.0
29.629093,-95.505823,1979.0,2.0,2.0,1352.0,3463.0,77085,1100.0
29.646109,-95.50695,0.0,2.0,2.0,1007.0,0.0,77035,980.0
29.935911,-95.310232,1983.0,2.0,1.0,1009.0,5554.0,77032,1045.0
30.020206,-95.10596,2005.0,2.0,3.0,1098.0,7523.0,77336,1600.0
29.93486,-95.600236,2001.0,3.0,2.0,1664.0,5822.0,77065,1950.0
29.72637,-95.52834,1979.0,1.0,1.0,500.0,0.0,77063,725.0
29.753546,-95.397202,0.0,2.0,2.0,1293.0,0.0,77019,2619.0
30.02088,-95.156283,1997.0,7.0,4.0,3702.0,9120.0,77346,11500.0
29.85128,-95.420061,2023.0,3.0,3.0,1508.0,2307.0,77091,2700.0
29.714905,-95.380806,2008.0,1.0,1.0,761.0,0.0,77004,1930.0
29.683926,-95.259078,1940.0,3.0,2.0,1568.0,7501.0,77017,1600.0
29.694865,-95.439443,1952.0,3.0,2.0,1804.0,7501.0,77025,2800.0
29.809439,-95.437065,0.0,2.0,2.0,1292.0,0.0,77008,2617.0
29.74958,-95.366455,0.0,1.0,1.0,758.0,0.0,77002,1635.0
29.688406,-95.611909,2004.0,3.0,2.0,1532.0,5040.0,77072,1900.0
29.687952,-95.683248,2004.0,4.0,3.0,2177.0,5293.0,77083,2195.0
29.671148,-95.429817,0.0,2.0,2.0,1227.0,0.0,77054,1965.0
29.805603,-95.416034,2015.0,3.0,4.0,2120.0,1851.0,77008,2850.0
29.875458,-95.656273,0.0,1.0,1.0,772.0,0.0,77084,1075.0
29.74988,-95.341187,1940.0,1.0,1.0,525.0,5001.0,77003,950.0
29.69869,-95.385841,0.0,1.0,1.0,815.0,0.0,77054,1620.0
29.733503,-95.402763,2007.0,1.0,1.0,670.0,111906.0,77006,1696.0
29.851633,-95.298599,1964.0,3.0,1.0,800.0,52185.0,77016,1100.0
29.722766,-95.470268,0.0,1.0,1.0,638.0,0.0,77081,1140.0
29.740571,-95.42052,0.0,2.0,2.0,1278.0,0.0,77098,2380.0
29.706581,-95.59465,0.0,2.0,2.0,1180.0,0.0,77072,1349.0
29.743534,-95.374992,0.0,1.0,1.0,520.0,0.0,77002,1700.0
29.640478,-95.51051,1983.0,3.0,3.0,2435.0,4900.0,77071,2470.0
29.93919,-95.38755,0.0,2.0,2.0,800.0,0.0,77060,950.0
29.920376,-95.201653,0.0,2.0,2.0,1369.0,0.0,77044,2018.0
29.757149,-95.640636,0.0,2.0,2.0,1293.0,0.0,77077,1940.0
29.688725,-95.442039,0.0,2.0,2.0,1040.0,0.0,77025,1385.0
29.836899,-95.365075,2021.0,3.0,3.0,1436.0,1668.0,77022,2400.0
29.683855,-95.563934,0.0,1.0,1.0,531.0,0.0,77099,767.0
29.75078,-95.61785,0.0,1.0,1.0,646.0,0.0,77077,992.0
29.824978,-95.387959,1940.0,1.0,1.0,560.0,5001.0,77022,1100.0
29.611969,-95.281058,1979.0,3.0,2.0,1408.0,63998.0,77075,1400.0
